test.subset,train.subsets,learner_id,task_id,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro,lr,learner_name
balanced,other,lr0.5conv_Macro_AUM,MNIST_seed1_prop0.1,0.571261942386627,0.0115726644583153,0.939211209615072,0.0153401861133214,0.5,conv_Macro_AUM
unbalanced,other,lr0.5conv_Macro_AUM,MNIST_seed1_prop0.1,0.511422395706177,0.0395453921769105,0.865563968817393,0.110576254436298,0.5,conv_Macro_AUM
balanced,same,lr0.5conv_Macro_AUM,MNIST_seed1_prop0.1,0.575885494550069,0.026247307279185,0.932755450407664,0.0508218779948729,0.5,conv_Macro_AUM
unbalanced,same,lr0.5conv_Macro_AUM,MNIST_seed1_prop0.1,0.5556454261144,0.019850254411092,0.804733614126841,0.260598014170838,0.5,conv_Macro_AUM
balanced,other,lr0.5conv_Micro_AUM,MNIST_seed1_prop0.1,0.951237936814626,0.0151644179359611,0.969550927480062,0.0162121277825833,0.5,conv_Micro_AUM
unbalanced,other,lr0.5conv_Micro_AUM,MNIST_seed1_prop0.1,0.963228086630503,0.0224362253586625,0.976830224196116,0.00128042348348628,0.5,conv_Micro_AUM
balanced,same,lr0.5conv_Micro_AUM,MNIST_seed1_prop0.1,0.973032633463542,0.00998720294015996,0.97626934448878,0.00711277276463792,0.5,conv_Micro_AUM
unbalanced,same,lr0.5conv_Micro_AUM,MNIST_seed1_prop0.1,0.94133323431015,0.0159400319200574,0.967324475447337,0.0120657883855344,0.5,conv_Micro_AUM
balanced,other,lr0.5conv_CE_weighted,MNIST_seed1_prop0.1,0.662102917830149,0.29197159161859,0.666395058234533,0.288211781719121,0.5,conv_CE_weighted
unbalanced,other,lr0.5conv_CE_weighted,MNIST_seed1_prop0.1,0.76428876320521,0.24484788795743,0.778163611888886,0.249182678855756,0.5,conv_CE_weighted
balanced,same,lr0.5conv_CE_weighted,MNIST_seed1_prop0.1,0.831898212432861,0.278651047898658,0.829343378543854,0.282000126641728,0.5,conv_CE_weighted
